序号,位移响应
1,8.838343819688531e-12
2,1.0253701973492312e-11
3,1.1671757373301767e-11
4,1.3092923625730147e-11
5,1.4517665582185998e-11
6,1.594650676935286e-11
7,1.738003785767113e-11
8,1.8818926294805448e-11
9,2.0263927244972067e-11
10,2.171589599021524e-11
11,2.3175801966372812e-11
12,2.464474462464882e-11
13,2.6123971329529906e-11
14,2.7614897525342903e-11
15,2.9119129427168024e-11
16,3.063848951720176e-11
17,3.2175045155111824e-11
18,3.373114064056623e-11
19,3.530943309802229e-11
20,3.6912932588172117e-11
21,3.854504688720692e-11
22,4.0209631414411706e-11
23,4.1911044830553696e-11
24,4.365421087421543e-11
25,4.544468705059928e-11
26,4.7288740837503434e-11
27,4.919343412611559e-11
28,5.116671666983688e-11
29,5.321752937282143e-11
30,5.535591831068804e-11
31,5.759316043932381e-11
32,5.994190201328822e-11
33,6.241631080306735e-11
34,6.503224326976926e-11
35,6.780742792689257e-11
36,7.076166619050165e-11
37,7.391705209166264e-11
38,7.729821229733246e-11
39,8.093256795754189e-11
40,8.485061996700505e-11
41,8.908625929719265e-11
42,9.367710411987265e-11
43,9.866486550334706e-11
44,1.0409574351801127e-10
45,1.1002085563602474e-10
46,1.164966993502475e-10
47,1.2358565096846662e-10
48,1.3135650255734712e-10
49,1.398850390183292e-10
50,1.4925465726725267e-10
51,1.5955702946457594e-10
52,1.708928121977452e-10
53,1.8337240345028314e-10
54,1.9711674910222287e-10
55,2.1225820058777313e-10
56,2.2894142519324084e-10
57,2.4732437029521596e-10
58,2.6757928263228694e-10
59,2.898937834492778e-10
60,3.1447200006542365e-10
61,3.4153575408496935e-10
62,3.7132580608962933e-10
63,4.0410315622645694e-10
64,4.4015039962613845e-10
65,4.797731350588794e-10
66,5.23301424641e-10
67,5.710913017749012e-10
68,6.235263237835394e-10
69,6.810191649573048e-10
70,7.440132448882935e-10
71,8.129843860906573e-10
72,8.88442493952944e-10
73,9.70933251057162e-10
74,1.0610398168340468e-09
75,1.1593845223841517e-09
76,1.2666305491332483e-09
77,1.3834835787237584e-09
78,1.510693400300959e-09
79,1.649055459992867e-09
80,1.7994123360561006e-09
81,1.9626551217598165e-09
82,2.139724696677872e-09
83,2.3316128656647267e-09
84,2.539363343366074e-09
85,2.764072560750165e-09
86,3.00689026874568e-09
87,3.269019912819075e-09
88,3.5517187510051798e-09
89,3.856297686789928e-09
90,4.184120787116475e-09
91,4.53660445487705e-09
92,4.915216224397428e-09
93,5.321473147771615e-09
94,5.75693973944185e-09
95,6.223225446133217e-09
96,6.721981609219854e-09
97,7.2548978868213585e-09
98,7.823698103408688e-09
99,8.430135495509764e-09
100,9.07598732322637e-09
101,9.763048818752736e-09
102,1.0493126444918873e-08
103,1.1268030439028898e-08
104,1.2089566619970425e-08
105,1.2959527439537635e-08
106,1.3879682262584635e-08
107,1.4851766864503641e-08
108,1.5877472139042307e-08
109,1.6958432014391504e-08
110,1.8096210580882383e-08
111,1.9292288439517294e-08
112,2.0548048286922533e-08
113,2.1864759759098556e-08
114,2.3243563563676494e-08
115,2.468545493794321e-08
116,2.6191266478061304e-08
117,2.7761650393345565e-08
118,2.9397060248093423e-08
119,3.1097732262666014e-08
120,3.286366625459804e-08
121,3.46946063100403e-08
122,3.659002128523571e-08
123,3.854908524741811e-08
124,4.057065797386835e-08
125,4.2653265637260804e-08
126,4.479508181455964e-08
127,4.699390896564558e-08
128,4.924716053600273e-08
129,5.155184384593728e-08
130,5.3904543935900774e-08
131,5.630140854420662e-08
132,5.8738134398679366e-08
133,6.120995500919724e-08
134,6.371163015122245e-08
135,6.623743723296504e-08
136,6.878116474048462e-08
137,7.133610795440566e-08
138,7.389506713058902e-08
139,7.645034833357673e-08
140,7.899376710754645e-08
141,8.151665516197297e-08
142,8.400987024139844e-08
143,8.646380933845176e-08
144,8.886842539743318e-08
145,9.121324764043521e-08
146,9.348740563460808e-08
147,9.567965719822942e-08
148,9.777842022594117e-08
149,9.977180849078242e-08
150,1.0164767145697071e-07
151,1.0339363811326074e-07
152,1.0499716480895049e-07
153,1.0644558704620547e-07
154,1.0772617515418585e-07
155,1.0882619373708146e-07
156,1.0973296475877436e-07
157,1.1043393409176108e-07
158,1.1091674132625393e-07
159,1.1116929260017439e-07
160,1.1117983617784305e-07
161,1.1093704047006916e-07
162,1.1043007415554603e-07
163,1.0964868803042393e-07
164,1.0858329818063008e-07
165,1.0722507004099142e-07
166,1.0556600287575288e-07
167,1.0359901418860223e-07
168,1.0131802354376978e-07
169,9.871803525852112e-08
170,9.579521940617148e-08
171,9.254699055346314e-08
172,8.897208364072449e-08
173,8.507062640517927e-08
174,8.0844207740334e-08
175,7.629594138292836e-08
176,7.14305243221182e-08
177,6.625428932936219e-08
178,6.077525102296012e-08
179,5.50031448929276e-08
180,4.8949458735560994e-08
181,4.262745597084501e-08
182,3.605219034712084e-08
